Codigo,Nome,Quantidade
52000,MINISTERIO DA DEFESA,3256
26000,MINISTERIO DA EDUCACAO,2502
30000,MINISTERIO DA JUSTICA E SEGURANÇA PUBLICA,2043
20113,"MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO",1326
25000,MINISTERIO DA FAZENDA,1314
20000,PRESIDENCIA DA REPUBLICA,953
22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",858
39000,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",713
36000,MINISTERIO DA SAUDE,574
44000,MINISTERIO DO MEIO AMBIENTE,564
55000,MINISTERIO DO DESENVOLVIMENTO SOCIAL,450
40000,MINISTERIO DO TRABALHO,368
24000,"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",167
32000,MINISTERIO DE MINAS E ENERGIA,161
53000,MINISTERIO DA INTEGRACAO NACIONAL,129
42000,MINISTERIO DA CULTURA,103
28000,"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",59
51000,MINISTERIO DO ESPORTE,58
37000,"MINIST. DA TRANSPARENCIA, FISCALIZACAO E CGU",53
56000,MINISTERIO DAS CIDADES,46
54000,MINISTERIO DO TURISMO,35
35000,MINISTERIO DAS RELACOES EXTERIORES,4
00000,DETALHAMENTO DAS INFORMAÇÕES NÃO DISPONÍVEL.,1
